Principal Coordinates Analysis (PCA)		4	8	6	8	2
PCA via Covariance matrix with data standardization			Control	GD	GHT	PE
Data Sheet	GD (4)					
Data Title	HpaII-Groups					
No. Samples	24	No. Pops.	4			
						
Percentage of variation explained by the first 3 axes						
						
Axis	1	2	3			
%	27.19	17.57	15.95			
Cum %	27.19	44.75	60.70			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
Eigen Values by Axis and Sample Eigen Vectors						
Axis No.	1	2	3	4	5	6
EigenValue	6.561	4.239	3.848	3.683	3.104	2.697
1440	0.505	-0.323	-0.156	0.353	-0.068	-0.466
1448	0.053	-0.042	0.832	-0.461	0.396	-0.122
1450	-0.007	0.768	0.456	-0.214	0.296	-0.121
1779	0.109	-0.252	0.024	0.201	-0.113	-0.475
2823	0.672	-0.612	0.104	0.436	-0.280	0.142
2853	0.049	0.524	-0.285	0.176	0.810	0.492
2864	0.011	0.876	0.368	0.586	-0.609	-0.295
2899	-0.562	-0.496	-0.547	-0.235	0.169	-0.165
1447	0.602	0.398	-0.171	-0.051	-0.173	0.207
1577	0.300	0.162	-0.401	-0.241	0.074	0.001
2007	-0.852	0.296	-0.036	0.511	0.122	-0.566
2788	0.428	-0.026	-0.213	-0.363	-0.370	0.148
2818	0.193	-0.254	-0.481	-0.341	-0.097	0.342
2822	0.509	-0.529	0.688	-0.075	0.471	-0.200
913	-0.607	-0.220	0.177	-0.138	-0.410	-0.021
1053	0.554	0.176	-0.321	-0.407	0.192	0.262
1108	-0.090	-0.054	-0.235	1.226	0.185	0.542
1592	0.854	0.482	-0.058	-0.091	-0.316	-0.004
1781	0.069	-0.602	-0.142	-0.092	-0.499	-0.102
2026	-0.764	-0.136	-0.604	0.027	0.485	-0.187
2796	0.251	-0.377	0.439	0.017	0.508	-0.193
2852	-0.540	0.550	-0.133	-0.531	-0.180	-0.134
711	-0.843	-0.076	-0.114	-0.274	-0.295	-0.005
1492	-0.894	-0.231	0.809	-0.018	-0.297	0.918
