Principal Coordinates Analysis (PCA)		4	8	6	7	2
PCA via Covariance matrix with data standardization			Control.	GD.HpaII	GHT.HpaII	PE.HpaII
Data Sheet	GD (4)					
Data Title	HpaII-Groups					
No. Samples	23	No. Pops.	4			
						
Percentage of variation explained by the first 3 axes						
						
Axis	1	2	3			
%	25.81	21.70	15.27			
Cum %	25.81	47.51	62.77			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
Eigen Values by Axis and Sample Eigen Vectors						
Axis No.	1	2	3	4	5	6
EigenValue	4.118	3.461	2.436	2.262	1.926	1.751
1779	-0.140	-0.287	-0.182	0.146	-0.326	0.462
2899	0.063	-0.016	-0.228	-0.459	0.754	0.350
2864	0.862	-0.821	-0.126	-0.547	-0.028	-0.302
1448	0.445	0.309	0.426	-0.132	0.320	0.267
1440	-0.426	0.213	-0.365	-0.039	0.276	-0.145
2823	0.263	-0.816	-0.228	0.297	-0.160	0.408
2853	0.113	0.575	-0.212	-0.478	-0.191	0.293
1450	0.227	0.264	0.058	-0.201	-0.564	-0.215
1577	0.176	0.229	-0.199	-0.105	-0.159	-0.321
2007	-0.195	0.092	0.056	0.351	0.164	0.198
1447	-0.752	-0.476	-0.195	-0.442	0.014	0.095
2818	0.395	-0.508	0.004	0.552	-0.172	0.186
2788	-0.149	0.244	-0.069	0.406	-0.315	-0.082
2822	0.102	0.508	-0.337	-0.131	-0.281	0.099
913	-0.086	0.069	0.509	0.292	0.297	0.068
2026	-0.323	0.138	0.287	-0.068	0.059	0.264
1053	-0.459	-0.354	1.035	-0.430	-0.277	-0.138
1592	0.946	0.155	0.078	0.258	0.330	-0.277
1108	-0.112	0.159	0.339	0.369	0.187	-0.205
1781	-0.532	-0.286	-0.382	0.169	0.302	-0.520
2852	-0.252	0.439	-0.158	0.134	-0.147	0.161
711	0.375	0.354	0.019	-0.052	-0.084	-0.240
1492	-0.545	-0.184	-0.128	0.110	0.001	-0.406
